feature,score
Campus Visit Indicator?,30.072037496638053
Level of Financial Need,18.847108760467
Reader Academic Rating,9.690534377809733
GPA,8.579271756464074
Scholarship,7.545660546317245
Ethnic Background,7.473412379869
Permanent Region,6.194568275334168
Academic Interest,4.9248160891764226
HS Class Size,4.07937288461399
Financial Aid Intent,1.006717010730255
Direct Legacy? (parent),0.5848441349960145
Interview?,0.5548138854384524
First Gen to College,0.40108331832402383
Sex,0.0457590838215402
